product_id,title,category,color,material,rating,descriptions,image_url
1,empire midi dress,casual,blue,polyester,4,"v-neck short regular sleeves, has gathered or pleated details, midi length in flared hem, woven, polyester fabric",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1hIW9STeP6RSOYt8bVC8kVwo8Nlq03-eBKQ&s
2,maxi dress,casual,blue,polyester,4.7,"solid maxi dress, round neck, short, no sleeves, maxi length in straight hem",https://cdn.aboutstatic.com/file/images/c55b4cdec5fa83f860706d71fbd86814.jpg?quality=75&height=480&width=360
3,empire puff sleeve dress,casual,off-white,cotton,4.4,"off white floral embroidered empire dress, v-neck, short, puff sleeve, gathered or pleated detail, above knee length in flared hem, cotton fabric","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2025/FEBRUARY/20/pH2YTqqh_90b907bc32b3409e874fbca0b02cf194.jpg"
4,smocked fit and flare midi dress,casual,black,polyester,5,"black solid fit and flare dress, shoulder straps, sleeveless, midi length in flared hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2025/APRIL/21/3x9g6IAo_064225169e944b4ca65f28014b22dc99.jpg"
5,bodycon midi dress,evening wear,pink,viscos rayon,3.8,"pink solid bodycon dress, off-shoulder, short, puff sleeve, midi length in flared hem, zip closure","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2024/SEPTEMBER/25/D1jaarKn_f98bc93cdd254e7dbe1ea076200a601b.jpg"
6,one shoulder sleeveless top,casual,black,"polyester, elastane",4.3,"regular fitted top, solid, one shoulder, sleeveless, no sleeves, knitted","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/29700252/2024/5/23/0703ccbf-8911-4b23-85bf-ea3b95da72f41716467471672TrendyolOneShoulderTop1.jpg"
7,striped square neck crop top,casual,black,"polyester, spandex",4.1,"black crop regular top, solid, square neck, long, regular sleeves, knitted",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREv6aV_RIEkEZg373G_iI9oeXtQNh1nkotAQ&s
8,slim collar formal shirt,formal,green,"cotton, polyester",3.9,"green solid opaque formal shirt, has a slim collar, button placket, long regular sleeves, curved hem",https://assets.ajio.com/medias/sys_master/root/20240307/zael/65e9dfde16fd2c6e6a43a436/allen-solly-green-classic-women-regular-fit-shirt.jpg
9,wome cotton formal shirt,formal,beige,cotton,4.3,"beige opaque formal shirt for women, mandarin collar, button placket, short, puff sleeves, curved hemline","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/2025/JANUARY/2/J7SHy4lq_bec62b20cbc74ce998e8e59194069246.jpg"
10,sleeveless formal waistcoat,formal,black,polyester,3.4,"black solid regular-fit woven waistcoat, has a v-neck, sleeveless ,a full buttoned placket, two pockets","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/2025/MARCH/25/FfmD5pl5_325df4f68aa0452c806a0be5098fb8f9.jpg"
11,women formal shirt,formal,white,cotton,4.2,"white solid opaque foraml shirt ,has a spread collar, button placket, long regular sleeves, curved hem","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/19761198/2022/9/2/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg"
12,opaque formal shirt,formal,nude,polyester,4.4,"nude-coloured solid opaque Formal shirt ,has a cutaway collar, button placket, long regular sleeves, curved hem",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqf7C797A64rGFwRZ4tjT7fGdB3rX37xeE6A&s
13,women striped cotton t-shirt,casual,"black, white",cotton,4,"black and white t-shirt for women, striped, longline length, round neck, short, drop-shoulder sleeves, knitted","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2025/JANUARY/31/GHwtLC6b_d5ea4320283f4723ac6aa5eef60e9f8e.jpg"
14,checked causal blazer,casual,brown,"wool, acrylic, polyester, nylon",4.3,"brown checked blazer, has a notched lapel collar, long sleeves, single-breasted with button closure, 3 pockets, attached polyester lining","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/22894380/2023/10/17/630bf24d-e758-422d-8b51-8f741080f0321697536791545-all-about-you-Women-Single-Breasted-Checked-Casual-Blazer-46-1.jpg"
15,women printed t-shirt,casual,purple,polyester,4.4,"purple t-shirt for women, typography printed, regular length, round neck, short, regular sleeves, knitted polyester fabric","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/20364428/2022/10/27/8ce5d240-c7e4-4dd6-9005-ca4a5b802f4d1666851264017-HRX-by-Hrithik-Roshan-Women-Tshirts-9191666851263229-1.jpg"
16,women high-rise jeans,casual,black,"polyester, spandex",4,"dark shade, no fade black jeans, wide leg, high-rise, clean look, non strechable, 5 pocket, regular length","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/24943460/2023/9/13/d3341aa5-f667-43c1-bfea-7db40e66dce51694579763373SASSAFRASBASICSWomenBlackStraightFitHigh-RiseJeans1.jpg"
17,women cotton high rise jeans,casual,beige,cotton,4.1,"coloured shade, no fade beige jeans, regular fit, high-rise, comfort, clean look, non strechable, 3 pocket, regular length","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/2025/FEBRUARY/6/0cgXocrZ_e3a44707f3a44438b16aedf7241401a2.jpg"
18,women cotton cargos trousers,casual,black,cotton,3.9,"black woven cargos trousers, straight fit, mid-rise, regular length, solid, flat-front, with no pleats design, plain and 6 pockets","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/2024/DECEMBER/31/EYD3LhXr_a9a8f2cf38524233909bd9253c00f932.jpg"
19,women mid rise trousers,casual,black,leather,3.5,"black knitted parallel, regular fit, mid-rise, regular length, flat-front with no pleats design, plain and 4 pockets","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/30267574/2024/7/18/2a56c886-14e5-4bb7-b54b-edacd0dda69b1721295898751TANDULWomenOriginalTrousers1.jpg"
20,women wide joggers,,grey,"cotton, polyester",4.4,"loose-fit joggers in sweatshirt fabric with an elasticated, drawstring waist, discreet pockets in the side seams and wide legs","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/30154997/2024/7/8/787e3930-73ba-40c0-9092-9ee214e0e8d21720438874716Widejoggers1.jpg"
21,spread collar casual shirt,casual,brown,polyester,4.4,"brown slef design opaque casual shirt, has a spread collar, button placket, long regular sleeves, curved hem","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/28219632/2024/3/12/2f53aaab-40e1-4c5b-8148-6ad150e5f4341710256687634CampusSutraMenClassicOpaqueCheckedCasualShirt2.jpg"
22,printed slim fit casual shirt,casual,"navy blue, off-white",viscos rayon,4.3,"men navy blue and off white abstract printed opaque casual shirt, has a mandarin collar, button placket, short regular sleeves, curved hem","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/20421124/2022/10/17/2dd1cc94-8bed-4f0f-8c95-a785a9910a3c1665981279300HERENOWMenMulticolouredSlimFitPrintedCasualShirt1.jpg"
23,slim fit casual shirt,casual,purple,cotton,4.4,"purple solid casual shirt, has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/15533082/2023/2/10/02fd5910-6f17-4bda-ba8f-ddf698c5cac81676013985849THEBEARHOUSEMenPurpleSlimFitCasualShirt4.jpg"
24,striped casual shirt,casual,white,cotton,4.3,"white vertical stripes opaque casual shirt, has a cutaway collar, button placket, 1 patch pocket, long regular sleeves, curved hem",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2zI8dh1V5vlVuhckZPNCspgCCkbI_RmiIeA&s
25,men cotton casual shirt,casual,white,cotton,4.2,"white solid opaque casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/17091614/2022/2/18/779ac019-8b8c-48f7-9c5e-b3e2fe3004b01645166457327-Men-White-Casual-Shirt-5731645166456476-1.jpg"
26,slim fit cotton formal shirt,formal,maroon,cotton,4.4,"maroon solid opaque formal shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/33440232/2025/4/30/13dc564f-e1b4-4c9d-ac16-4eace04ff1d61745988533219-Raymond-Men-Shirts-631745988532721-1.jpg"
27,spread collar formal shirt,formal,"navy blue, off-white",polycotton,4.2,"navy blue solid casual shirt, has a spread collar, button placket, long regular sleeves, curved hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/24505482/2023/8/15/64c33c99-2c8c-4474-a54b-f55cd3f18a331692108535803MISCHIEFMONKEYMenNavyBlueClassicOpaqueCasualShirt1.jpg"
28,slim fit opaque formal shirt,formal,mauve,"cotton, polyester",4.1,"mauve micro ditsy self design opaque formal shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/24378558/2023/10/31/ce504762-76a5-4c8b-8757-320aac6c1b451698746632588-Park-Avenue-Men-Shirts-3561698746632220-1.jpg"
29,slim fit cotton formal shirt,formal,violet,cotton,3.9,"violet solid opaque formal shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/25462782/2023/11/16/4a601f7d-aaea-4df0-9c8c-0eecc1c168161700123474222-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Formal-Shirt-8111700123-1.jpg"
30,slim fit cotton formal shirt,formal,green,cotton,4.8,"dark green solid slim fit formal shirt, has a spread collar, button placket, 1 patch pocket, long sleeves, curved hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/29353778/2024/5/4/6feb94cd-7bcf-4137-b3e1-25bb6c8564701714813180727Shirts1.jpg"
31,men shorts,active ,"grey, white",polyester,4.5,the perfect pair of shorts for any activity! The men's eco-designed fitness shorts with stretch fabric and zip pockets will elevate your workout experience. ,https://contents.mediadecathlon.com/p2810317/f1954d4531d105d6f470bf5a973efad0/p2810317.jpg
32,men sports shorts,active ,black,"polyester, elastane",4,"black solid mid-rise sports shorts, has 1 pockets, drawstring closure","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/29226788/2024/5/14/503c748c-7d82-46d6-9868-171c7cf8d4271715678697099-HRX-by-Hrithik-Roshan-Men-Shorts-841715678696339-1.jpg"
33,cotton pace shorts,casual,grey,"tencel modal, cotton, elastane",4.1,grey regular-fit modal shorts with a microfibre waistband and pockets on both sides.,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/23439802/2023/5/30/aba34a1a-de86-47c6-b73e-5dada21d45851685430901527-XYXX-Men-Lounge-Shorts-5961685430901176-1.jpg"
34,men relaxed fit trousers,formal,white,linen,3.8,white solid loose-fit mid-rise cargo trousers. It has a partially elasticated waistband with zip & button closure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRawmiTJTrFL33qvBd2rOoVwvhW7svNNvHfaA&s
35,men cargo trousers,casual,black,polyester ,3.1,"black solid machine weave cargos, regular fit, mid-rise, regular length, flat-front, with no pleats design and plain with  pockets",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVG7bSlv1CamDu2LpgfNHrkqYrBCDWw0mhnaU7-3RMzQ6Kt2rhcn8C5Y4s9ozn0C_tHX0&usqp=CAU
